batch_id,production_date,plant,production_line,vehicle_model,shift,units_produced,defective_units,defect_category,rework_units,scrap_units,downtime_minutes,cycle_time_seconds,quality_score,supplier_id,component_category,inspection_status,temperature_c,operator_team,notes
BATCH-01163,2025-06-22,Plant 01,Line 3,Aquila GT,Morning,67,1,Assembly,1,0,33.73,103.71,96.43,SUP-11,Suspension,Passed,19.2,Team Delta,Supplier component verification required.
BATCH-00249,2025-05-26,Plant 01, Line 3 ,Aquila GT,Afternoon,50,4,Assembly,0,0,14.11,90.81,90.43,SUP-07,Electronics,Failed,20.3,Team Gamma,Supplier component verification required.
BATCH-00895,2025-11-11,Plant 01,Line 3,Veloce S,Night,118,7,Assembly,7,0,4.66,56.21,90.25,SUP-10 ,Powertrain,Failed,24.6,Team Gamma,
BATCH-00181,2025-06-28,Plant 01,Line 4,Strada X,Morning,94,3,Interior,1,0,46.41,70.28,93.0,SUP-07,Powertrain,Review,22.7,Team Gamma,Supplier component verification required.
BATCH-01753,2025-08-15,Plant 01,Line 1,Strada X,Morning,79,3,Interior,2,1,9.05,76.86,95.89,SUP-09,Suspension,Review,19.5,Team Alpha,Supplier component verification required.
BATCH-00354,2025-06-11,Plant 01,Line 1,Veloce S,Afternoon,72,2,Electronics,1,1,14.99,83.02,94.08,SUP-01,Suspension,Review,25.1,Team Delta,Minor process adjustment performed.
BATCH-01471,2025-03-15,Plant 01,Line 4,Aquila GT,Morning,93,3,Mechanical,0,3,35.32,93.59,94.22,SUP-09,Interior,Review,23.1,Team Beta,
BATCH-00247,2025-04-13,Plant 02,Line 2,Eterna,Morning,114,3,Dimensional,1,1,44.09,71.71,94.94,SUP-02,Suspension,Review,21.7,Team Delta,Minor process adjustment performed.
BATCH-00509,2025-04-16,Plant 01,Line 1,Aquila GT,Night,101,2,Paint,2,0,39.85,77.28,95.98,SUP-09,Electronics,Passed,22.8,Team Beta,Supplier component verification required.
BATCH-01630,2025-01-01,Plant 02,Line 2,Eterna,Morning,81,1,Electronics,0,0,64.75,77.89,95.79,SUP-11,Suspension,Passed,20.7,Team Gamma,
BATCH-00817,2025-12-20,Plant 01,Line 2,Eterna,Morning,63,1,Mechanical,0,0,20.88,87.12,94.97,SUP-02,Body,Passed,25.3,Team Gamma,
BATCH-00262,2025-12-28,Plant 02,Line 2,Eterna,Afternoon,92,2,Dimensional,1,0,12.68,83.02,96.04,SUP-03,Suspension,Passed,25.4,Team Alpha,
BATCH-01029,2025-10-26,Plant 02,Line 3,Eterna,Afternoon,100,3,Electronics,2,0,27.25,79.49,94.77,SUP-05,Braking,Review,22.5,Team Delta,
BATCH-01187,2025-10-28,Plant 02,Line 2,Veloce S,Afternoon,87,1,Mechanical,1,0,0.31,87.65,98.48,SUP-02,Suspension,Passed,26.1,Team Gamma,Production line calibration completed.
BATCH-01157,2025-10-16,Plant 02,Line 2,Eterna,Night,68,1,Dimensional,1,0,17.04,92.18,94.72,SUP-12,Electronics,Passed,24.3,Team Alpha,Routine quality inspection completed.
BATCH-00988,2025-02-11,Plant 02,Line 4,Strada X,Night,97,2,Paint,1,0,56.3,69.94,94.31,SUP-10,Braking,Passed,22.2,Team Delta,
BATCH-00598,2025-07-09,Plant 01,Line 2,Veloce S,Afternoon,77,0,None,0,0,42.82,76.79,98.83,SUP-06,Electronics,Passed,22.3,Team Gamma,Production line calibration completed.
BATCH-00976,2025-01-03,Plant 02,Line 4,Eterna,Night,80,0,None,0,0,36.97,71.98,97.3,SUP-02,Body,Passed,20.3,Team Delta,
BATCH-01890,2025-12-13,Plant 02,Line 3,Eterna,Morning,83,1,Assembly,1,0,41.2,82.89,96.76,SUP-03,Interior,Passed,19.9,Team Beta,Production line calibration completed.
BATCH-01000,2025-06-26,Plant 02,Line 1,Aquila GT,Night,55,2,Mechanical,2,0,34.98,87.75,93.34,SUP-11,Interior,Review,25.5,Team Alpha,Supplier component verification required.
BATCH-01060,2025-02-02,Plant 01,Line 4,Veloce S,Afternoon,47,0,None,0,0,29.06,87.08,98.05,SUP-01,Body,Passed,19.0,Team Alpha,
BATCH-00038,2025-03-23,Plant 02,Line 2,Strada X,Afternoon,102,2,Interior,0,2,23.04,87.78,96.25,SUP-06,Electronics,Passed,23.3,Team Delta,
BATCH-00130,2025-03-25,Plant 02,Line 3,Veloce S,Afternoon,55,4,Assembly,1,1,23.34,68.67,90.1,SUP-05,Electronics,Failed,24.3,Team Gamma,Supplier component verification required.
BATCH-01121,2025-02-12,Plant 01,Line 1,Strada X,Morning,53,0,None,0,0,0.0,101.48,98.81,SUP-12,Braking,Passed,26.4,Team Gamma,Minor process adjustment performed.
BATCH-01202,2025-01-26,Plant 02,Line 4,Eterna,Afternoon,111,3,Paint,3,0,31.63,66.72,93.08,SUP-03,Electronics,Review,20.0,Team Beta,Routine quality inspection completed.
BATCH-01155,2025-02-15,Plant 01,Line 2,Veloce S,Night,92,2,Paint,0,1,47.76,105.2,96.44,SUP-04,Powertrain,Passed,17.9,Team Beta,Minor process adjustment performed.
BATCH-01821,2025-07-11,Plant 02,Line 3,Eterna,Night,67,1,Electronics,1,0,61.18,86.58,94.55,SUP-11 ,Powertrain,Passed,23.1,Team Delta,
BATCH-01050,2025-12-28,Plant 01,Line 3,Veloce S,Afternoon,102,1,Interior,1,0,42.32,110.67,96.9,SUP-11,Powertrain,Passed,22.3,Team Alpha,
BATCH-01489,2025-07-16,Plant 01,Line 2,Aquila GT,Afternoon,66,2,Interior,2,0,13.99,77.97,96.54,SUP-07,Electronics,Review,23.7,Team Alpha,
BATCH-01095,2025-07-15,Plant 01,Line 1,Strada X,Afternoon,88,0,None,0,0,42.71,71.3,97.22,SUP-01,Powertrain,Passed,22.8,Team Beta,Production line calibration completed.
BATCH-01222,2025-11-01,Plant 01,Line 4,Aquila GT,Afternoon,62,1,Assembly,1,0,46.73,81.17,97.15,SUP-08,Suspension,Passed,22.8,Team Delta,
BATCH-00985,2025-07-11,Plant 02,Line 4,Veloce S,Afternoon,114,2,Assembly,0,1,19.53,96.18,95.96,SUP-11,Interior,Passed,20.3,Team Delta,
BATCH-01784,2025-07-02,Plant 01,Line 2,Strada X,Night,84,0,None,0,0,54.59,75.77,99.31,SUP-11,Braking,Passed,21.6,Team Gamma,Minor process adjustment performed.
BATCH-00293,2025-08-09,Plant 02,Line 4,Strada X,Night,103,3,Interior,1,1,27.46,92.8,92.93,SUP-03,Electronics,Review,24.4,Team Gamma,
BATCH-01276,2025-05-01,Plant 02,Line 1,Veloce S,Morning,93,2,Paint,2,0,17.19,88.02,92.58,SUP-07,Body,Review,25.6,Team Beta,
BATCH-00197,2025-04-02,Plant 01,Line 1,Veloce S,Morning,113,4,Interior,2,0,16.21,92.21,93.78,SUP-11,Electronics,Review,26.9,Team Gamma,Supplier component verification required.
BATCH-00812,2025-01-27,Plant 01,Line 4,Aquila GT,Morning,68,0,None,0,0,27.81,90.58,98.27,SUP-10,Braking,Passed,25.3,Team Delta,
BATCH-01944,2025-05-18,Plant 02,Line 2,Aquila GT,Morning,84,2,Dimensional,2,0,52.7,72.88,95.4,SUP-06,Suspension,Passed,24.0,Team Delta,Production line calibration completed.
BATCH-00866,2025-08-22,Plant 01,Line 4,Veloce S,Morning,53,0,None,0,0,0.0,68.84,97.03,SUP-07,Powertrain,Passed,19.0,Team Gamma,Production line calibration completed.
BATCH-00986,2025-06-04,Plant 01,Line 1,Strada X,Morning,48,0,None,0,0,37.91,96.18,99.8,SUP-03,Interior,Passed,22.1,Team Beta,
BATCH-00897,2025-12-15,Plant 02,Line 2,Strada X,Morning,116,2,Paint,1,1,53.51,100.77,95.76,SUP-09,Suspension,Passed,23.2,Team Gamma,Production line calibration completed.
BATCH-00725,2025-05-24,Plant 02,Line 2,Strada X,Night,65,2,Interior,0,2,47.17,101.51,91.16,SUP-11,Suspension,Review,24.3,Team Delta,Production line calibration completed.
BATCH-01457,2025-12-09,Plant 01,Line 1,Aquila GT,Night,96,7,Interior,2,5,831.95,83.13,88.66,SUP-07,Interior,Failed,20.9,Team Beta,Routine quality inspection completed.
BATCH-01223,2025-06-02,Plant 02,Line 1,Strada X,Morning,96,1,Dimensional,0,0,3.55,87.61,94.89,SUP-07,Body,Passed,21.4,Team Beta,Supplier component verification required.
BATCH-00496,2025-05-18,Plant 01,Line 4,Veloce S,Morning,116,1,Dimensional,1,0,42.48,62.39,95.89,SUP-04,Powertrain,Passed,24.5,Team Alpha,
BATCH-01326,2025-04-28,Plant 01,Line 1,Veloce S,Morning,86,8,Paint,8,0,18.35,79.71,87.43,SUP-07,Electronics,Failed,29.2,Team Gamma,Supplier component verification required.
BATCH-00984,2025-09-05,Plant 02,Line 3,Veloce S,Morning,99,6,Mechanical,5,1,25.09,85.14,91.44,SUP-08,Interior,Failed,24.5,Team Alpha,Routine quality inspection completed.
BATCH-01970,2025-12-13,Plant 02,Line 3,Veloce S,Afternoon,108,0,None,0,0,9.21,92.95,97.33,SUP-05,Body,Passed,23.5,Team Gamma,Supplier component verification required.
BATCH-01857,2025-07-01,Plant 02,Line 4,Veloce S,Night,69,2,Electronics,2,0,36.58,86.7,93.56,SUP-08,Interior,Review,24.2,Team Delta,
BATCH-00974,2025-03-19,Plant 01,Line 4,Veloce S,Night,79,4,Dimensional,4,0,34.18,87.27,93.13,SUP-06,Interior,Failed,29.0,Team Alpha,
BATCH-00374,2025-06-16,Plant 02,Line 3,Eterna,Night,112,116,Electronics,4,0,29.44,96.96,93.61,SUP-03,Body,Review,23.3,Team Delta,Supplier component verification required.
BATCH-01211,12-14-2025,Plant 02,Line 1,Aquila GT,Night,97,3,Dimensional,3,0,31.18,81.63,94.3,SUP-06,Body,Review,26.7,Team Beta,Minor process adjustment performed.
BATCH-00542,2025-05-08,Plant 01,Line 3,Veloce S,Afternoon,118,3,Paint,0,2,47.84,76.36,112.51,SUP-04,Electronics,Review,25.4,Team Gamma,Routine quality inspection completed.
BATCH-01544,2025-05-19,Plant 01,Line 4,Strada X,Afternoon,67,2,Electronics,0,2,32.35,84.66,96.18,SUP-01,Body,Review,26.4,Team Beta,
BATCH-01522,2025-08-06,Plant 01,Line 1,Strada X,Night,83,1,Dimensional,0,1,25.64,73.72,96.1,SUP-03,Suspension,Passed,25.5,Team Gamma,Routine quality inspection completed.
BATCH-00008,2025-08-08,Plant 02,Line 4,Strada X,Afternoon,80,2,Interior,1,0,30.67,73.31,96.08,SUP-04,Body,Passed,21.5,Team Alpha,
BATCH-00013,2025-02-09,Plant 02,Line 2,Eterna,Afternoon,98,0,None,0,0,5.67,90.93,97.63,SUP-08,Interior,Passed,23.5,Team Delta,Supplier component verification required.
BATCH-01573,2025-10-15,Plant 02,Line 3,Eterna,Morning,66,6,Assembly,3,0,17.29,81.89,90.23,SUP-12,Electronics,Failed,22.0,Team Beta,
BATCH-01803,2025-08-19,Plant 01,Line 4,Aquila GT,Afternoon,87,0,None,0,0,27.43,88.51,99.89,SUP-12,Suspension,Passed,16.3,Team Beta,
BATCH-00733,2025-01-21,Plant 02,Line 4,Aquila GT,Afternoon,46,1,Paint,0,0,40.59,94.17,95.72,SUP-06,Braking,Passed,23.5,Team Beta,
BATCH-01472,2025-12-27,Plant 01,Line 3,Aquila GT,Morning,75,3,Assembly,1,1,37.79,81.47,94.64,SUP-01,Interior,Review,20.7,Team Alpha,Supplier component verification required.
BATCH-00283,2025-10-05,Plant 02,Line 4,Strada X,Afternoon,90,3,Mechanical,2,0,22.56,82.86,94.09,SUP-07,Braking,Review,25.2,Team Beta,
BATCH-01884,2025-03-20,Plant 02,Line 1,Strada X,Night,99,2,Electronics,2,0,34.92,82.49,96.16,SUP-11,Suspension,Passed,25.4,Team Gamma,
BATCH-00016,2025-06-01,Plant 02,Line 3,Veloce S,Afternoon,75,2,Dimensional,0,1,9.54,71.96,95.35,SUP-02,Body,Review,23.3,Team Delta,Supplier component verification required.
BATCH-01698,2025-03-09,Plant 02,Line 4,Strada X,Morning,113,2,Paint,2,0,26.28,81.65,97.54,SUP-04,Braking,Passed,25.3,Team Gamma,Minor process adjustment performed.
